Sender ID,Reply Text,Sentiment,Score,Date
-1001971889434,https://youtu.be/rj9JSkSpRlM?si=__nBTMMATL-HUHz-,Негативный,0.9948986172676086,2024-12-18 07:12:25
1066177050,"Говорила подруге надо, кто-то нас опередил))",Положительный,0.9567326307296753,2024-12-18 07:01:42
447150063,Как рука поднимается таких малышей только обижать. Что за недюди,Нейтральный,0.8147242069244385,2024-12-18 06:55:24
533782791,"Или пьяное быдло ради забавы, таких тоже хватает 😭",Негативный,0.7513622641563416,2024-12-18 06:27:43
8134097630,ахпхах,Нейтральный,0.8266218900680542,2024-12-18 06:25:44
368566709,"А в Москвач+ пришут, что груз не пострадал и робота злоумышленникам не удалось вскрыть
Вы там определитесь уже, взломали или нет. 
Инфопомойки пишут лишь бы выложить новость",Негативный,0.7515522241592407,2024-12-18 06:05:00
-1002023314148,Россия!!! Такие игрушки не для нашего менталитета.,Негативный,0.751539409160614,2024-12-18 06:02:03
-1002480791716,Везите этого воришку у нам,Негативный,0.7515177726745605,2024-12-18 05:09:47
-1002192895732,"Исходя из [трех законов Азимова,](https://t.me/master_and_margin/88) робот не может навредить человеку. А вот человек роботу вообще легко 🤓",Негативный,0.9949012994766235,2024-12-18 05:05:40
1984262869,У него камера есть наверное. Отыщут воришек. Жаль такого милого робота,Негативный,0.7515788674354553,2024-12-18 05:00:22
5352607206,Кхаха,Негативный,0.7515773177146912,2024-12-18 04:58:33
464652590,"У ребёнка украл, нелюдь",Негативный,0.7515431642532349,2024-12-18 04:54:24
1440427505,скоро другие его братья приедут разбираться,Негативный,0.7517039179801941,2024-12-18 04:45:34
1539587524,:(,Нейтральный,0.0,2024-12-18 04:35:55
6909072343,Бедный микро бро 🙂‍↕️,Негативный,0.7510008811950684,2024-12-18 03:06:00
7608445291,"мне кажется, ты вор в законе",Нейтральный,0.8287004232406616,2024-12-18 02:05:13
6789267292,"По крайней мере, я не ворую",Нейтральный,0.8284724950790405,2024-12-18 02:02:17
7608445291,А ты кто?,Нейтральный,0.8302966952323914,2024-12-18 02:01:28
6789267292,От пидор,Негативный,0.7516573667526245,2024-12-18 01:33:40
554975556,🙈,Нейтральный,0.0,2024-12-18 00:53:05
-1002256212195,Как можно было такого милаша обокрасть 🥺,Положительный,0.6111760139465332,2024-12-18 00:47:20
5040905889,Попробовал бы вор украсть у Джонни Сильверхенда.,Нейтральный,0.818875789642334,2024-12-18 00:12:21
607796443,Кто мог обидеть такого милашку 🥹🥹🥹,Негативный,0.7498252987861633,2024-12-18 00:06:51
