Sender ID,Reply Text,Date
-1001971889434,https://youtu.be/rj9JSkSpRlM?si=__nBTMMATL-HUHz-,2024-12-18 07:12:25
1066177050,"Говорила подруге надо, кто-то нас опередил))",2024-12-18 07:01:42
447150063,Как рука поднимается таких малышей только обижать. Что за недюди,2024-12-18 06:55:24
533782791,"Или пьяное быдло ради забавы, таких тоже хватает 😭",2024-12-18 06:27:43
8134097630,ахпхах,2024-12-18 06:25:44
368566709,"А в Москвач+ пришут, что груз не пострадал и робота злоумышленникам не удалось вскрыть
Вы там определитесь уже, взломали или нет. 
Инфопомойки пишут лишь бы выложить новость",2024-12-18 06:05:00
-1002023314148,Россия!!! Такие игрушки не для нашего менталитета.,2024-12-18 06:02:03
-1002480791716,Везите этого воришку у нам,2024-12-18 05:09:47
-1002192895732,"Исходя из [трех законов Азимова,](https://t.me/master_and_margin/88) робот не может навредить человеку. А вот человек роботу вообще легко 🤓",2024-12-18 05:05:40
1984262869,У него камера есть наверное. Отыщут воришек. Жаль такого милого робота,2024-12-18 05:00:22
5352607206,Кхаха,2024-12-18 04:58:33
464652590,"У ребёнка украл, нелюдь",2024-12-18 04:54:24
1440427505,скоро другие его братья приедут разбираться,2024-12-18 04:45:34
1539587524,:(,2024-12-18 04:35:55
6909072343,Бедный микро бро 🙂‍↕️,2024-12-18 03:06:00
7608445291,"мне кажется, ты вор в законе",2024-12-18 02:05:13
6789267292,"По крайней мере, я не ворую",2024-12-18 02:02:17
7608445291,А ты кто?,2024-12-18 02:01:28
6789267292,От пидор,2024-12-18 01:33:40
554975556,🙈,2024-12-18 00:53:05
-1002256212195,Как можно было такого милаша обокрасть 🥺,2024-12-18 00:47:20
5040905889,Попробовал бы вор украсть у Джонни Сильверхенда.,2024-12-18 00:12:21
607796443,Кто мог обидеть такого милашку 🥹🥹🥹,2024-12-18 00:06:51
962062733,они такие лапули…,2024-12-18 00:00:52
466429107,Ну суки же. Это как у ребёнка украсть.,2024-12-17 23:57:25
-1002316649824,Не только технологии прогрессируют🤣,2024-12-17 23:53:17
1745756827,"ОНИ ТАКИЕ МИМИМИШНЫЕ, Я НЕ МОГУ, Я ЕГО СЪЕМ ЩАС ❤️❤️❤️❤️❤️",2024-12-17 23:19:31
7733195148,Из-за таких и началась война со Skynet)),2024-12-17 22:48:31
1449786217,Он когда нибудь позовёт своего старшего братика),2024-12-17 22:48:12
979212689,"Конечно, оно же не может себя защитить, вот и обижают, пусть ставят сигнализацию на них",2024-12-17 22:47:21
6962058426,"Читаю про ограбление робота, а чувства как будто его изнасиловали, то есть еще и унизили((",2024-12-17 22:45:48
789938347,Такой милашка,2024-12-17 22:09:08
